rel_path,file_basename,time_band,cand_landmark,cand_city,cand_state,cand_country,matched,match_level,lat,lon,region,source,confidence
afternoon\Aerial_view_of_the_Avenue_of_the_Dead_and_Pyramid_of_the_Moon__Teotihuacan__Mexico_vert.jpg,Aerial_view_of_the_Avenue_of_the_Dead_and_Pyramid_of_the_Moon__Teotihuacan__Mexico_vert.jpg,afternoon,,,,,,,,,,,
afternoon\Aerial_view_of_the_campsite__natural_landscape_at_Geiranger__Norway_horiz.jpg,Aerial_view_of_the_campsite__natural_landscape_at_Geiranger__Norway_horiz.jpg,afternoon,,,,Norway,norway,country,60.472,8.4689,EU,gazetteer,med
afternoon\Aerial_view_of_the_Caribbean_Sea_and_vegetation_on_the_isle_of_Antigua__Leeward_Islands__West_Indies_horiz.jpg,Aerial_view_of_the_Caribbean_Sea_and_vegetation_on_the_isle_of_Antigua__Leeward_Islands__West_Indies_horiz.jpg,afternoon,,,,,,,,,,,
afternoon\Aerial_view_of_the_cliffs_of_Etretat__La_Manche_or_English_Channel__Normandy__France_vert.jpg,Aerial_view_of_the_cliffs_of_Etretat__La_Manche_or_English_Channel__Normandy__France_vert.jpg,afternoon,,,,France,france,country,46.2276,2.2137,EU,gazetteer,med
afternoon\Aerial_view_of_the_Hutt_Lagoon__Pink_Lake___Kalbarri__Western_Australia_horiz.jpg,Aerial_view_of_the_Hutt_Lagoon__Pink_Lake___Kalbarri__Western_Australia_horiz.jpg,afternoon,,,,Australia,australia,country,-25.2744,133.7751,OC,gazetteer,med
afternoon\Aerial_view_of_the_Komodo_Island__Komodo_National_Park__Nusa_Tenggara_Islands__Indonesia_horiz.jpg,Aerial_view_of_the_Komodo_Island__Komodo_National_Park__Nusa_Tenggara_Islands__Indonesia_horiz.jpg,afternoon,,,,,,,,,,,
afternoon\Aerial_view_of_the_old_famous_Princess_Pier_at_Port_Melbourne__Victoria__Australia_horiz.jpg,Aerial_view_of_the_old_famous_Princess_Pier_at_Port_Melbourne__Victoria__Australia_horiz.jpg,afternoon,,,,Australia,australia,country,-25.2744,133.7751,OC,gazetteer,med
afternoon\Aerial_view_of_the_Pavilion_of_the_Enlightened_at_Ancient_Siam_near_Bangkok__Thailand_vert.jpg,Aerial_view_of_the_Pavilion_of_the_Enlightened_at_Ancient_Siam_near_Bangkok__Thailand_vert.jpg,afternoon,,Bangkok,,Thailand,bangkok,city,13.7563,100.5018,AS,gazetteer,high
afternoon\Aerial_view_of_the_rainforest_in_Masoala_National_Park__Madagascar_horiz.jpg,Aerial_view_of_the_rainforest_in_Masoala_National_Park__Madagascar_horiz.jpg,afternoon,,,,,,,,,,,
afternoon\Aerial_view_of_the_town_of_Dinan_with_Rance_river__Cotes_d_Armor__Bretagne__France_vert.jpg,Aerial_view_of_the_town_of_Dinan_with_Rance_river__Cotes_d_Armor__Bretagne__France_vert.jpg,afternoon,,,,France,france,country,46.2276,2.2137,EU,gazetteer,med
